TotalTime;SegmentTime;XTran1;;;;;
20.34608;4.96537;0.01914076;;;;;
20.37775;4.99705;0.01510055;;;;;
20.40409;5.023389;0.01330919;;;;;
20.42094;5.040238;0.008259177;;;;;
20.44985;5.069141;0.004183505;;;;;
20.4738;5.093095;-0.000193238;;;;;
20.49905;5.118346;-0.004917033;;;;;
20.52575;5.145049;-0.008633645;;;;;
20.54806;5.167353;-0.01365515;;;;;
20.58405;5.203349;-0.01485111;;;;;
20.60027;5.219566;-0.01674783;;;;;
20.62725;5.246547;-0.02416267;;;;;
20.65416;5.273456;-0.0285097;;;;;
20.6831;5.302398;-0.03179719;;;;;
20.70792;5.327215;-0.03549143;;;;;
20.72832;5.34762;-0.03940481;;;;;
20.7514;5.370697;-0.04313567;;;;;
20.77518;5.39448;-0.04627859;;;;;
20.7975;5.416796;-0.04766228;;;;;
20.82033;5.439629;-0.05317176;;;;;
20.84895;5.468245;-0.05623744;;;;;
20.87205;5.491348;-0.05968013;;;;;
20.89556;5.514851;-0.06292796;;;;;
20.9195;5.538789;-0.06629521;;;;;
20.94301;5.562305;-0.06992967;;;;;
20.96782;5.587108;-0.07252806;;;;;
20.99007;5.609365;-0.07519107;;;;;
21.01778;5.637076;-0.07746617;;;;;
21.03835;5.657641;-0.07833418;;;;;
21.05704;5.676331;-0.0827922;;;;;
21.08506;5.704354;-0.08623578;;;;;
21.1148;5.734089;-0.0876732;;;;;
21.13293;5.752226;-0.09217042;;;;;
21.16001;5.779305;-0.09642805;;;;;
21.1875;5.806791;-0.1003654;;;;;
21.20703;5.826315;-0.1043131;;;;;
21.23069;5.849982;-0.1082155;;;;;
21.25313;5.872424;-0.1124971;;;;;
21.27822;5.897513;-0.1162597;;;;;
21.3035;5.922793;-0.119427;;;;;
21.32681;5.9461;-0.1219858;;;;;
21.34899;5.968281;-0.1229589;;;;;
21.37367;5.992959;-0.1237268;;;;;
21.39785;6.017147;-0.1254511;;;;;
21.41777;6.037063;-0.1268532;;;;;
